,ID,Unnamed: 0,Latitude,Longitude,State
383,10665.0,212299,36.0976,111.439,山西省
384,10666.0,212319,29.0668,106.127,重庆市
385,10668.0,212359,47.884,125.296,黑龙江省
386,10669.0,212379,37.8925,113.162,山西省
387,10670.0,212399,36.2651,111.621,山西省
388,10671.0,212419,36.0775,111.521,山西省
389,10672.0,212439,34.8716,110.458,山西省
390,10673.0,212459,31.36,107.715,四川省
391,10676.0,212519,36.2442,111.678,山西省
392,10677.0,212539,32.7377,108.799,陕西省
393,10678.0,212559,41.2065,116.64,河北省
394,10679.0,212579,38.0869,113.411,山西省
395,10680.0,212599,26.6843,104.812,贵州省
396,10681.0,212619,39.3646,114.707,河北省
397,10682.0,212639,25.6861,104.261,云南省
398,10683.0,212659,23.7242,103.253,云南省
399,10685.0,212699,35.145,110.773,山西省
400,10688.0,212759,35.6098,111.236,山西省
401,10689.0,212779,26.5766,104.856,贵州省
402,10691.0,212819,32.7046,109.009,陕西省
403,10692.0,212839,23.3534,103.149,云南省
404,10693.0,212859,40.4542,115.975,北京|北京
405,10694.0,212879,24.5362,103.76,云南省
406,10695.0,212899,27.3023,105.285,贵州省
407,10696.0,212919,35.6173,111.347,山西省
408,10698.0,212959,46.4007,123.417,黑龙江省
409,10699.0,212979,44.5489,120.903,内蒙古自治区
410,10700.0,212999,31.3617,107.989,四川省
411,10701.0,213019,48.0265,125.862,黑龙江省
412,10702.0,213039,41.9456,117.757,河北省
413,10703.0,213059,28.0418,105.819,四川省
414,10704.0,213079,25.7142,104.47,贵州省
415,10705.0,213099,33.8664,109.939,陕西省
416,10707.0,213119,37.8587,113.543,山西省
417,10708.0,213139,34.097,110.139,陕西省
418,10709.0,213159,30.3254,107.347,重庆市
419,10710.0,213179,35.355,111.221,山西省
420,10711.0,213199,35.0516,111.007,山西省
421,10712.0,213219,35.6443,111.47,山西省
422,10713.0,213239,34.6968,110.685,山西省
423,10714.0,213259,42.9275,119.014,内蒙古自治区
424,10715.0,213279,29.8465,107.071,重庆市
425,10716.0,213299,23.3678,103.384,云南省
426,10717.0,213319,35.9672,111.84,山西省
427,10719.0,213359,29.9585,107.201,重庆市
