,Unnamed: 0,ID,Latitude,Longitude,State
0,19,1.0,21.3407,-157.894,HI
1,59,3.0,34.9231,-120.434,CA
2,79,4.0,36.6077,-121.882,CA
3,99,5.0,34.4268,-119.744,CA
4,119,6.0,36.9713,-121.979,CA
5,139,7.0,36.689,-121.641,CA
6,159,8.0,34.2174,-119.207,CA
7,179,9.0,36.9196,-121.765,CA
8,199,10.0,37.5691,-122.145,CA
9,219,11.0,34.2294,-119.033,CA
10,239,12.0,34.182,-118.864,CA
11,259,13.0,37.9686,-122.527,CA
12,279,14.0,33.9537,-117.955,CA
13,299,15.0,38.2462,-122.632,CA
14,319,16.0,34.2723,-118.74,CA
15,339,17.0,38.4445,-122.714,CA
16,379,19.0,37.9149,-122.049,CA
17,439,22.0,37.6884,-121.754,CA
18,479,24.0,34.4198,-118.532,CA
19,499,25.0,38.3088,-122.301,CA
20,519,26.0,37.9854,-121.798,CA
21,539,27.0,38.264,-122.03,CA
22,559,28.0,37.7309,-121.431,CA
23,579,29.0,35.3659,-119.045,CA
24,599,30.0,38.3469,-121.969,CA
25,639,32.0,34.6323,-118.135,CA
26,659,33.0,37.7999,-121.22,CA
27,679,34.0,37.9741,-121.295,CA
28,699,35.0,37.6506,-120.987,CA
29,719,36.0,37.5061,-120.853,CA
30,739,37.0,33.5334,-117.153,CA
31,759,38.0,36.3372,-119.652,CA
32,779,39.0,37.3102,-120.477,CA
33,799,40.0,38.5528,-121.74,CA
34,819,41.0,33.8124,-117.213,CA
35,839,42.0,38.128,-121.281,CA
36,879,44.0,36.9619,-120.067,CA
37,899,45.0,33.9273,-117.241,CA
38,919,46.0,36.7873,-119.771,CA
39,939,47.0,38.6761,-121.764,CA
40,959,48.0,36.3274,-119.327,CA
41,979,49.0,38.6041,-121.387,CA
42,999,50.0,33.755,-116.962,CA
43,1019,51.0,36.07,-119.035,CA
44,1079,54.0,34.4713,-117.346,CA
45,1099,55.0,39.1293,-121.632,CA
46,1119,56.0,33.7541,-116.371,CA
47,1159,58.0,39.7457,-121.837,CA
48,1199,60.0,32.6935,-114.639,AZ
49,1339,67.0,39.5128,-119.792,NV
50,1379,69.0,42.3371,-122.868,OR
51,1439,72.0,34.4891,-114.311,AZ
52,1479,74.0,36.1451,-115.159,NV
53,1579,79.0,33.4781,-112.003,AZ
54,1639,82.0,44.0655,-123.083,OR
55,1679,84.0,32.2457,-110.931,AZ
56,1699,85.0,33.1639,-111.565,AZ
57,1799,90.0,44.9394,-123.02,OR
58,1959,98.0,37.113,-113.594,UT
59,2019,101.0,45.5311,-122.666,OR
60,2659,133.0,47.0282,-122.864,WA
61,2779,139.0,47.4965,-122.299,WA
62,2899,145.0,31.8421,-106.549,TX
63,2939,147.0,32.3116,-106.772,NM
64,2979,149.0,31.8939,-106.423,TX
65,3039,152.0,47.5655,-122.645,WA
66,3259,163.0,46.5911,-120.538,WA
67,3339,167.0,43.5749,-116.566,ID
68,3439,172.0,43.6185,-116.304,ID
69,3639,182.0,46.2141,-119.158,WA
70,3659,183.0,61.1992,-149.831,AK
71,3799,190.0,48.7571,-122.485,WA
72,3839,192.0,40.3192,-111.725,UT
73,3859,193.0,40.6451,-111.917,UT
74,3919,196.0,35.1294,-106.629,NM
75,4059,203.0,40.8765,-111.892,UT
76,4139,207.0,41.146,-111.991,UT
77,4579,229.0,39.0856,-108.528,CO
78,4659,233.0,31.8687,-102.361,TX
79,4699,235.0,32.0061,-102.116,TX
80,4779,239.0,26.215,-98.2284,TX
81,4819,241.0,47.6726,-117.352,WA
82,4839,242.0,43.4917,-112.008,ID
83,4919,246.0,25.9318,-97.4819,TX
84,4939,247.0,33.5559,-101.897,TX
85,4959,248.0,31.4475,-100.463,TX
86,4999,250.0,29.4921,-98.5214,TX
87,5059,253.0,27.744,-97.4037,TX
88,5139,257.0,38.2621,-104.62,CO
89,5199,260.0,46.8669,-114.02,MT
90,5219,261.0,35.1851,-101.864,TX
91,5299,265.0,32.4416,-99.7493,TX
92,5319,266.0,38.8637,-104.776,CO
93,5459,273.0,39.7285,-104.98,CO
94,5479,274.0,30.3707,-97.7348,TX
95,5559,278.0,40.0169,-105.254,CO
96,5699,285.0,40.1703,-105.113,CO
97,5799,290.0,31.1005,-97.7221,TX
98,5859,293.0,40.4092,-105.083,CO
99,5919,296.0,40.5531,-105.073,CO
100,5999,300.0,40.4072,-104.718,CO
101,6199,310.0,31.5342,-97.1652,TX
102,6259,313.0,41.1439,-104.8,WY
103,6299,315.0,33.8857,-98.5237,TX
104,6319,316.0,29.7832,-95.4097,TX
105,6379,319.0,30.6245,-96.3323,TX
106,6479,324.0,32.8569,-96.964,TX
107,6579,329.0,34.6142,-98.4361,OK
108,6639,332.0,32.6,-96.8271,TX
109,6659,333.0,29.9943,-95.1759,TX
110,6679,334.0,30.0651,-95.21,TX
111,6699,335.0,33.1889,-97.107,TX
112,6779,339.0,45.7766,-108.558,MT
113,6819,341.0,33.0086,-96.5776,TX
114,6879,344.0,30.077,-94.1275,TX
115,6919,346.0,29.9321,-93.956,TX
116,6979,349.0,35.2224,-97.461,OK
117,7019,351.0,35.4639,-97.524,OK
118,7159,358.0,35.64,-97.4919,OK
119,7319,366.0,32.515,-94.7637,TX
120,7359,368.0,30.201,-93.2128,LA
121,7619,381.0,32.4834,-93.7337,LA
122,7679,384.0,37.7036,-97.4522,KS
123,7699,385.0,37.6834,-97.3097,KS
